GEOID,Total population,White,Black,Asian,Hispanic
36005004200,7803,62,2145,15,5581
36005004400,4551,166,1376,164,2702
36005004600,1826,33,624,0,1152
36005004800,4464,27,750,157,3441
36005005001,4304,25,1289,92,2868
36005005002,6393,44,1528,0,4757
36005005400,5638,30,1128,117,4016
36005006400,4061,178,1328,54,2263
36005006500,5681,522,1776,125,3230
36005006800,2765,0,511,383,1662
36005007000,4235,306,1171,467,1833
36005007200,6430,349,819,2465,2555
36005007400,3078,54,997,0,1963
36005007600,5293,131,1162,700,3157
36005007800,6301,230,2091,493,3017
36005007900,7157,27,1695,0,5392
36005008300,6121,153,1241,0,4726
36005008400,3290,150,1062,167,1864
36005008500,5706,52,1262,116,4086
36005008600,4134,150,1576,0,2308
36005008700,6328,120,1092,39,5049
36005009200,6122,290,653,1285,3592
36005009600,2762,249,449,504,1398
36005011701,1608,5,419,0,1149
36005011800,6041,3474,184,86,2221
36005011900,6193,201,1742,0,4108
36005012101,3267,40,1020,12,2131
36005012102,1463,4,348,0,1092
36005012500,4014,54,912,0,2990
36005012901,4961,112,1521,6,3322
36005013000,1297,391,52,15,839
36005013100,5252,249,1568,0,3420
36005013200,7288,1744,1279,435,3743
36005013300,6236,49,1538,234,4192
36005013500,3492,34,1734,25,1699
36005013800,3077,1295,96,338,1296
36005014400,5781,110,1105,76,4011
36005014900,4708,131,1542,0,2810
36005015100,5311,13,2966,0,2271
36005015200,2565,931,141,51,1298
36005015300,4226,5,1832,90,2286
36005015800,1423,570,73,100,680
36005016000,3891,2206,62,252,1365
36005016200,1712,705,86,146,743
36005016400,1074,532,66,147,329
36005017500,6768,179,3117,0,3319
36005017701,4554,81,1788,8,2677
36005017702,5412,118,2526,49,2432
36005017901,4751,38,1036,59,3615
36005017902,4138,37,1170,13,2918
36005018101,3502,24,851,1,2390
36005018102,5695,100,2001,88,3343
36005018302,3546,9,1483,16,2038
36005018400,4057,1792,75,356,1834
36005018900,8311,618,2903,46,4443
36005019700,7479,118,1011,466,5830
36005019900,7899,145,2967,0,4593
36005020200,2372,81,365,443,1461
36005020400,3431,250,132,355,2454
36005020601,2425,101,290,859,998
36005020900,4997,99,1727,26,3056
36005021002,8192,62,3400,1036,3464
36005021100,6036,48,1612,42,4183
36005021301,1397,23,398,0,959
36005021302,5865,2,2283,20,3423
36005021501,4445,156,931,7,3337
